"o_0","o_1","o_2","o_3","o_4","o_5"
"-860963.0584716797","-20183.534622192383","-238.15553188323975","-117.1821117401123","-559.9750995635986","-915.3127956390381"
"-3583006.6680908203","-55246.968269348145","-348.24059009552","-41.20025157928467","-295.6963777542114","-685.1372051239014"
"-65138.67378234863","-12050.020694732666","-371.14505767822266","-117.2344970703125","-572.9006290435791","-1061.2802410125732"
"-3275348.2818603516","-53460.33573150635","-316.40210151672363","-65.11942863464355","-293.88461112976074","-675.4061508178711"
"-2850799.560546875","-41508.66985321045","-441.460657119751","-27.02526569366455","-324.7591257095337","-793.2450771331787"
"-3475640.4876708984","-54603.06644439697","-251.4211654663086","-43.43165874481201","-370.1824188232422","-665.035228729248"
"-3073993.682861328","-51500.23937225342","-309.90355014801025","-73.90091896057129","-295.89247703552246","-679.6970415115356"
"-2290614.3188476562","-35934.19790267944","-443.96491050720215","-57.535037994384766","-303.65562438964844","-805.1556301116943"
"-1387651.6342163086","-22123.873233795166","-510.5792999267578","-60.74977397918701","-367.2160863876343","-938.5451030731201"
"-1374541.7594909668","-23654.537200927734","-577.0130634307861","-72.59702682495117","-201.7005205154419","-851.310567855835"
"-2757942.771911621","-42073.91262054443","-423.8579750061035","-42.45796203613281","-325.71260929107666","-792.0285129547119"
"-3445449.447631836","-54103.13606262207","-247.27330207824707","-59.697980880737305","-342.93718338012695","-649.9085140228271"
"-2845334.243774414","-47296.695709228516","-318.02940368652344","-61.19847297668457","-304.7717332839966","-683.999605178833"
"-7947954.559326172","-144744.93026733398","-58.15340280532837","-85.71467399597168","-17.69031584262848","-161.55839681625366"
"-5138644.027709961","-82509.765625","-254.66465950012207","-28.688149452209473","-232.47597217559814","-515.8287906646729"
"-4940722.65625","-78057.22713470459","-171.33444547653198","-54.39009189605713","-290.23985862731934","-515.9643173217773"
"-4520003.509521484","-72803.70712280273","-285.66720485687256","-37.97008037567139","-244.51680183410645","-568.1540966033936"
"-1511086.654663086","-24025.402069091797","-551.3825416564941","-53.69074821472168","-307.71257877349854","-912.7859401702881"
"-5632854.080200195","-88291.32080078125","-138.7086033821106","-35.089874267578125","-300.60861110687256","-474.40707206726074"
"-2552815.818786621","-36638.37671279907","-440.41643142700195","-36.8516731262207","-348.99275302886963","-826.2609672546387"
"-6137189.483642578","-99736.48071289062","-197.88587093353271","-34.89741086959839","-232.1815013885498","-464.9647521972656"
"-7958846.282958984","-144940.0520324707","-20.367899537086487","-85.71467399597168","-17.69031584262848","-123.77289533615112"
"-40617.141127586365","-11784.746646881104","-458.9219093322754","-117.23462104797363","-573.306941986084","-1149.4634628295898"
"-5122499.465942383","-83431.7684173584","-150.208842754364","-62.91238784790039","-287.37099170684814","-500.492262840271"
"-2583146.286010742","-41927.05154418945","-382.784628868103","-48.601951599121094","-342.74070262908936","-774.1274070739746"
"-5600634.765625","-92230.10063171387","-150.6534218788147","-52.68986225128174","-265.76857566833496","-469.11187648773193"
"-2228883.3618164062","-36895.30372619629","-453.82933616638184","-68.01344871520996","-320.4166650772095","-842.2593784332275"
"-3664609.909057617","-51531.057357788086","-272.2882270812988","-81.96767807006836","-411.9502067565918","-766.2061786651611"
"-43864.91775512695","-1860.3727221488953","-739.9545669555664","-117.1546459197998","-317.3731327056885","-1174.482421875"
"-3356256.866455078","-51429.98218536377","-300.73091983795166","-51.13783359527588","-371.4543104171753","-723.3230209350586"
"-810527.229309082","-18726.062774658203","-239.72735404968262","-117.22444534301758","-564.0191555023193","-920.97092628479"
"-2447479.820251465","-38581.886291503906","-324.9072074890137","-55.51137447357178","-392.2105312347412","-772.6291465759277"
"-4765054.702758789","-76204.65278625488","-344.13957595825195","-33.90774726867676","-238.75577449798584","-616.8031024932861"
"-38936.35869026184","-1768.839955329895","-634.2811584472656","-117.23462104797363","-573.3304977416992","-1324.8462867736816"
"-2557811.737060547","-38749.659061431885","-411.72428131103516","-42.9035758972168","-328.5935401916504","-783.2213401794434"
"-3681343.8415527344","-57220.93105316162","-383.4209442138672","-31.174440383911133","-252.66268253326416","-667.2581148147583"
"-2893296.8139648438","-47813.41075897217","-305.43954372406006","-74.79718208312988","-304.9811601638794","-685.2178430557251"
"-49829.864501953125","-11912.028789520264","-414.9691581726074","-117.2344970703125","-573.0761051177979","-1105.2797985076904"
"-1379344.9401855469","-33010.98585128784","-208.63709449768066","-113.94679069519043","-512.2366428375244","-834.8205184936523"
"-3404631.0424804688","-55557.57522583008","-374.2431402206421","-40.15492916107178","-268.45200061798096","-682.8501176834106"
"-4821908.187866211","-75587.05806732178","-352.30700969696045","-35.439109802246094","-180.8967113494873","-568.6429023742676"
"-4570233.154296875","-70429.90684509277","-179.30880784988403","-37.247276306152344","-307.2682857513428","-523.8244342803955"
"-39213.31167221069","-1772.7240920066833","-546.5997219085693","-117.23462104797363","-573.3248233795166","-1237.1591663360596"
"-2231722.2595214844","-37148.08225631714","-447.79629707336426","-60.51882266998291","-341.33763313293457","-849.6526622772217"
"-3721371.4599609375","-62140.09761810303","-98.07834029197693","-107.49382019042969","-429.660701751709","-635.2328395843506"
